Date,Public Health Unit,Cases by episode date,7 day rolling average: Cases by episode date,Cases rate by episode date,Cases by reported date,7 day rolling average: Cases by reported date,Cases rate by reported date,Hospitalizations,Hospitalizations rate,Deaths,Deaths rate
"February 22, 2020",Ontario,5,2,0,0,0,0,0,0,0,0
"February 23, 2020",Ontario,5,2,0,0,0,0,0,0,0,0
"February 24, 2020",Ontario,4,3,0,0,0,0,1,0,0,0
"February 25, 2020",Ontario,3,3,0,1,0,0,0,0,0,0
"February 26, 2020",Ontario,2,4,0,1,0,0,2,0,0,0
"February 27, 2020",Ontario,2,4,0,2,0,0,1,0,0,0
"February 28, 2020",Ontario,5,4,0,5,1,0,2,0,0,0
"February 29, 2020",Ontario,4,4,0,4,1,0,1,0,0,0
"March 1, 2020",Ontario,23,4,0.2,2,2,0,4,0,0,0
"March 2, 2020",Ontario,16,7,0.1,0,2,0,4,0,0,0
"March 3, 2020",Ontario,13,9,0.1,2,2,0,4,0,0,0
"March 4, 2020",Ontario,14,11,0.1,1,3,0,4,0,0,0
"March 5, 2020",Ontario,27,13,0.2,4,3,0,3,0,0,0
"March 6, 2020",Ontario,35,17,0.2,3,3,0,4,0,0,0
"March 7, 2020",Ontario,32,22,0.2,3,3,0,2,0,0,0
"March 8, 2020",Ontario,54,26,0.4,5,2,0,1,0,0,0
"March 9, 2020",Ontario,68,31,0.5,6,3,0,4,0,0,0
"March 10, 2020",Ontario,104,40,0.7,9,4,0.1,6,0,0,0
"March 11, 2020",Ontario,103,55,0.7,23,5,0.2,7,0,1,0
"March 12, 2020",Ontario,131,69,0.9,37,9,0.2,5,0,0,0
"March 13, 2020",Ontario,155,86,1,36,14,0.2,4,0,0,0
"March 14, 2020",Ontario,147,106,1,32,19,0.2,5,0,0,0
"March 15, 2020",Ontario,194,124,1.3,36,24,0.2,13,0.1,0,0
"March 16, 2020",Ontario,269,147,1.8,53,29,0.4,14,0.1,0,0
"March 17, 2020",Ontario,273,180,1.8,59,37,0.4,15,0.1,0,0
"March 18, 2020",Ontario,274,208,1.8,59,45,0.4,14,0.1,0,0
"March 19, 2020",Ontario,263,236,1.8,69,51,0.5,21,0.1,0,0
"March 20, 2020",Ontario,354,257,2.4,99,56,0.7,30,0.2,0,0
"March 21, 2020",Ontario,278,290,1.9,72,66,0.5,27,0.2,1,0
"March 22, 2020",Ontario,275,311,1.9,87,73,0.6,28,0.2,2,0
"March 23, 2020",Ontario,340,324,2.3,145,81,1,37,0.2,2,0
"March 24, 2020",Ontario,278,336,1.9,174,96,1.2,54,0.4,5,0
"March 25, 2020",Ontario,306,337,2.1,138,115,0.9,61,0.4,4,0
"March 26, 2020",Ontario,293,342,2,250,128,1.7,65,0.4,3,0
"March 27, 2020",Ontario,331,347,2.2,297,158,2,66,0.4,4,0
"March 28, 2020",Ontario,318,343,2.1,236,190,1.6,67,0.5,8,0.1
"March 29, 2020",Ontario,292,350,2,227,217,1.5,74,0.5,14,0.1
"March 30, 2020",Ontario,390,352,2.6,438,240,3,90,0.6,18,0.1
"March 31, 2020",Ontario,332,360,2.2,411,287,2.8,92,0.6,15,0.1
"April 1, 2020",Ontario,481,369,3.2,454,326,3.1,75,0.5,15,0.1
"April 2, 2020",Ontario,369,398,2.5,450,378,3,82,0.6,28,0.2
"April 3, 2020",Ontario,446,410,3,465,410,3.1,91,0.6,22,0.1
"April 4, 2020",Ontario,407,429,2.7,349,438,2.4,76,0.5,29,0.2
"April 5, 2020",Ontario,366,444,2.5,371,456,2.5,65,0.4,28,0.2
"April 6, 2020",Ontario,451,456,3,479,480,3.2,82,0.6,30,0.2
"April 7, 2020",Ontario,430,466,2.9,458,486,3.1,78,0.5,35,0.2
"April 8, 2020",Ontario,431,482,2.9,493,494,3.3,93,0.6,38,0.3
"April 9, 2020",Ontario,462,473,3.1,489,500,3.3,78,0.5,42,0.3
"April 10, 2020",Ontario,550,489,3.7,399,507,2.7,74,0.5,36,0.2
"April 11, 2020",Ontario,540,506,3.6,476,496,3.2,61,0.4,44,0.3
"April 12, 2020",Ontario,470,527,3.2,550,517,3.7,66,0.4,47,0.3
"April 13, 2020",Ontario,616,544,4.2,599,546,4,53,0.4,50,0.3
"April 14, 2020",Ontario,600,571,4,558,566,3.8,58,0.4,44,0.3
"April 15, 2020",Ontario,660,599,4.5,619,582,4.2,51,0.3,60,0.4
"April 16, 2020",Ontario,623,636,4.2,579,602,3.9,81,0.5,56,0.4
"April 17, 2020",Ontario,663,663,4.5,752,617,5.1,84,0.6,54,0.4
"April 18, 2020",Ontario,547,681,3.7,600,675,4,67,0.5,56,0.4
"April 19, 2020",Ontario,354,682,2.4,594,695,4,63,0.4,85,0.6
"April 20, 2020",Ontario,538,663,3.6,614,702,4.1,86,0.6,56,0.4
"April 21, 2020",Ontario,429,651,2.9,522,705,3.5,74,0.5,65,0.4
"April 22, 2020",Ontario,454,623,3.1,548,699,3.7,86,0.6,67,0.5
"April 23, 2020",Ontario,448,589,3,511,687,3.4,75,0.5,59,0.4
"April 24, 2020",Ontario,421,560,2.8,432,676,2.9,74,0.5,62,0.4
"April 25, 2020",Ontario,443,521,3,427,624,2.9,56,0.4,68,0.5
"April 26, 2020",Ontario,366,504,2.5,367,596,2.5,59,0.4,63,0.4
"April 27, 2020",Ontario,473,506,3.2,480,559,3.2,78,0.5,67,0.5
"April 28, 2020",Ontario,411,495,2.8,417,537,2.8,74,0.5,48,0.3
"April 29, 2020",Ontario,396,492,2.7,406,520,2.7,65,0.4,67,0.5
"April 30, 2020",Ontario,411,483,2.8,409,496,2.8,58,0.4,62,0.4
"May 1, 2020",Ontario,438,477,3,488,480,3.3,76,0.5,63,0.4
"May 2, 2020",Ontario,326,480,2.2,333,489,2.2,47,0.3,50,0.3
"May 3, 2020",Ontario,273,461,1.8,341,473,2.3,38,0.3,73,0.5
"May 4, 2020",Ontario,325,445,2.2,334,469,2.3,62,0.4,46,0.3
"May 5, 2020",Ontario,339,421,2.3,409,445,2.8,45,0.3,40,0.3
"May 6, 2020",Ontario,274,409,1.8,356,444,2.4,37,0.2,42,0.3
"May 7, 2020",Ontario,321,390,2.2,306,436,2.1,48,0.3,43,0.3
"May 8, 2020",Ontario,353,375,2.4,298,419,2,54,0.4,38,0.3
"May 9, 2020",Ontario,316,361,2.1,310,388,2.1,46,0.3,39,0.3
"May 10, 2020",Ontario,288,359,1.9,294,384,2,30,0.2,41,0.3
"May 11, 2020",Ontario,385,362,2.6,216,377,1.5,45,0.3,38,0.3
"May 12, 2020",Ontario,351,372,2.4,258,357,1.7,31,0.2,34,0.2
"May 13, 2020",Ontario,304,374,2.1,362,333,2.4,36,0.2,27,0.2
"May 14, 2020",Ontario,353,378,2.4,342,334,2.3,23,0.2,27,0.2
"May 15, 2020",Ontario,468,384,3.2,382,340,2.6,60,0.4,31,0.2
"May 16, 2020",Ontario,330,402,2.2,370,353,2.5,49,0.3,31,0.2
"May 17, 2020",Ontario,302,405,2,421,363,2.8,34,0.2,25,0.2
"May 18, 2020",Ontario,352,407,2.4,376,384,2.5,24,0.2,26,0.2
"May 19, 2020",Ontario,398,402,2.7,329,410,2.2,36,0.2,27,0.2
"May 20, 2020",Ontario,404,409,2.7,388,422,2.6,32,0.2,19,0.1
"May 21, 2020",Ontario,348,426,2.3,338,426,2.3,28,0.2,26,0.2
"May 22, 2020",Ontario,281,425,1.9,400,425,2.7,35,0.2,20,0.1
"May 23, 2020",Ontario,285,394,1.9,367,428,2.5,24,0.2,25,0.2
"May 24, 2020",Ontario,277,387,1.9,340,428,2.3,36,0.2,24,0.2
"May 25, 2020",Ontario,372,383,2.5,399,414,2.7,32,0.2,29,0.2
"May 26, 2020",Ontario,311,386,2.1,273,418,1.8,30,0.2,39,0.3
"May 27, 2020",Ontario,291,372,2,322,409,2.2,34,0.2,27,0.2
"May 28, 2020",Ontario,240,353,1.6,325,398,2.2,29,0.2,19,0.1
"May 29, 2020",Ontario,333,336,2.2,606,396,4.1,28,0.2,25,0.2
"May 30, 2020",Ontario,285,344,1.9,346,430,2.3,41,0.3,19,0.1
"May 31, 2020",Ontario,199,344,1.3,412,426,2.8,26,0.2,10,0.1
"June 1, 2020",Ontario,362,332,2.4,396,438,2.7,26,0.2,12,0.1
"June 2, 2020",Ontario,227,330,1.5,366,438,2.5,31,0.2,10,0.1
"June 3, 2020",Ontario,235,316,1.6,348,453,2.3,26,0.2,16,0.1
"June 4, 2020",Ontario,233,307,1.6,279,457,1.9,16,0.1,18,0.1
"June 5, 2020",Ontario,226,306,1.5,278,449,1.9,22,0.1,17,0.1
"June 6, 2020",Ontario,192,288,1.3,222,396,1.5,11,0.1,9,0.1
"June 7, 2020",Ontario,161,273,1.1,207,376,1.4,18,0.1,9,0.1
"June 8, 2020",Ontario,225,267,1.5,214,342,1.4,18,0.1,7,0
"June 9, 2020",Ontario,172,245,1.2,216,312,1.5,23,0.2,15,0.1
"June 10, 2020",Ontario,205,236,1.4,237,288,1.6,19,0.1,5,0
"June 11, 2020",Ontario,181,231,1.2,187,270,1.3,13,0.1,6,0
"June 12, 2020",Ontario,176,222,1.2,240,255,1.6,15,0.1,5,0
"June 13, 2020",Ontario,129,214,0.9,171,249,1.2,16,0.1,11,0.1
"June 14, 2020",Ontario,150,204,1,144,240,1,13,0.1,8,0.1
"June 15, 2020",Ontario,213,202,1.4,178,230,1.2,13,0.1,6,0
"June 16, 2020",Ontario,190,200,1.3,173,224,1.2,7,0,4,0
"June 17, 2020",Ontario,180,203,1.2,190,217,1.3,7,0,4,0
"June 18, 2020",Ontario,163,199,1.1,198,209,1.3,9,0.1,5,0
"June 19, 2020",Ontario,164,196,1.1,189,211,1.3,10,0.1,5,0
"June 20, 2020",Ontario,152,194,1,154,203,1,10,0.1,6,0
"June 21, 2020",Ontario,132,198,0.9,174,200,1.2,8,0.1,4,0
"June 22, 2020",Ontario,179,195,1.2,203,205,1.4,10,0.1,7,0
"June 23, 2020",Ontario,171,189,1.2,152,209,1,8,0.1,9,0.1
"June 24, 2020",Ontario,149,186,1,164,206,1.1,10,0.1,6,0
"June 25, 2020",Ontario,273,181,1.8,146,201,1,10,0.1,3,0
"June 26, 2020",Ontario,112,199,0.8,182,193,1.2,2,0,4,0
"June 27, 2020",Ontario,116,191,0.8,230,192,1.6,7,0,3,0
"June 28, 2020",Ontario,118,185,0.8,205,204,1.4,8,0.1,4,0
"June 29, 2020",Ontario,153,183,1,131,209,0.9,8,0.1,5,0
"June 30, 2020",Ontario,134,178,0.9,176,198,1.2,7,0,1,0
"July 1, 2020",Ontario,103,172,0.7,150,201,1,11,0.1,2,0
"July 2, 2020",Ontario,118,165,0.8,142,199,1,6,0,2,0
"July 3, 2020",Ontario,118,139,0.8,152,199,1,3,0,3,0
"July 4, 2020",Ontario,106,140,0.7,129,194,0.9,4,0,1,0
"July 5, 2020",Ontario,79,139,0.5,92,177,0.6,4,0,1,0
"July 6, 2020",Ontario,212,132,1.4,105,159,0.7,4,0,7,0
"July 7, 2020",Ontario,160,142,1.1,139,154,0.9,8,0.1,4,0
"July 8, 2020",Ontario,144,146,1,142,148,1,7,0,3,0
"July 9, 2020",Ontario,118,153,0.8,136,147,0.9,6,0,2,0
"July 10, 2020",Ontario,136,153,0.9,124,146,0.8,10,0.1,5,0
"July 11, 2020",Ontario,116,156,0.8,128,142,0.9,7,0,3,0
"July 12, 2020",Ontario,104,158,0.7,113,141,0.8,8,0.1,0,0
"July 13, 2020",Ontario,185,162,1.2,98,145,0.7,4,0,4,0
"July 14, 2020",Ontario,166,157,1.1,105,144,0.7,8,0.1,2,0
"July 15, 2020",Ontario,174,158,1.2,133,138,0.9,5,0,4,0
"July 16, 2020",Ontario,134,163,0.9,142,137,1,7,0,3,0
"July 17, 2020",Ontario,133,166,0.9,165,138,1.1,5,0,3,0
"July 18, 2020",Ontario,116,165,0.8,175,144,1.2,10,0.1,3,0
"July 19, 2020",Ontario,101,165,0.7,122,152,0.8,5,0,1,0
"July 20, 2020",Ontario,145,165,1,178,153,1.2,12,0.1,1,0
"July 21, 2020",Ontario,146,158,1,118,167,0.8,1,0,1,0
"July 22, 2020",Ontario,133,155,0.9,124,169,0.8,6,0,2,0
"July 23, 2020",Ontario,110,148,0.7,195,167,1.3,4,0,1,0
"July 24, 2020",Ontario,114,144,0.8,139,176,0.9,8,0.1,2,0
"July 25, 2020",Ontario,98,141,0.7,118,172,0.8,4,0,2,0
"July 26, 2020",Ontario,89,138,0.6,125,162,0.8,10,0.1,3,0
"July 27, 2020",Ontario,138,136,0.9,122,163,0.8,6,0,1,0
"July 28, 2020",Ontario,100,135,0.7,122,154,0.8,5,0,2,0
"July 29, 2020",Ontario,104,128,0.7,100,154,0.7,6,0,1,0
"July 30, 2020",Ontario,95,123,0.6,109,150,0.7,9,0.1,2,0
"July 31, 2020",Ontario,82,120,0.6,127,136,0.9,10,0.1,1,0
"August 1, 2020",Ontario,79,115,0.5,103,134,0.7,3,0,3,0
"August 2, 2020",Ontario,66,112,0.4,57,132,0.4,4,0,1,0
"August 3, 2020",Ontario,88,108,0.6,97,121,0.7,6,0,0,0
"August 4, 2020",Ontario,85,100,0.6,87,117,0.6,7,0,0,0
"August 5, 2020",Ontario,90,98,0.6,81,111,0.5,2,0,1,0
"August 6, 2020",Ontario,74,96,0.5,97,108,0.7,6,0,2,0
"August 7, 2020",Ontario,108,92,0.7,80,106,0.5,3,0,1,0
"August 8, 2020",Ontario,77,96,0.5,92,98,0.6,4,0,0,0
"August 9, 2020",Ontario,67,96,0.5,90,96,0.6,5,0,0,0
"August 10, 2020",Ontario,129,96,0.9,69,102,0.5,3,0,1,0
"August 11, 2020",Ontario,98,103,0.7,88,97,0.6,2,0,1,0
"August 12, 2020",Ontario,92,105,0.6,96,97,0.6,1,0,0,0
"August 13, 2020",Ontario,113,105,0.8,90,100,0.6,3,0,1,0
"August 14, 2020",Ontario,94,112,0.6,91,99,0.6,2,0,0,0
"August 15, 2020",Ontario,82,109,0.6,86,101,0.6,4,0,0,0
"August 16, 2020",Ontario,76,110,0.5,100,100,0.7,3,0,1,0
"August 17, 2020",Ontario,150,112,1,99,101,0.7,4,0,1,0
"August 18, 2020",Ontario,106,115,0.7,104,106,0.7,7,0,2,0
"August 19, 2020",Ontario,109,116,0.7,103,109,0.7,7,0,1,0
"August 20, 2020",Ontario,111,119,0.7,108,110,0.7,7,0,2,0
"August 21, 2020",Ontario,118,119,0.8,133,113,0.9,3,0,0,0
"August 22, 2020",Ontario,109,123,0.7,82,120,0.6,8,0.1,0,0
"August 23, 2020",Ontario,118,127,0.8,101,119,0.7,3,0,1,0
"August 24, 2020",Ontario,146,134,1,117,119,0.8,9,0.1,1,0
"August 25, 2020",Ontario,144,133,1,120,122,0.8,12,0.1,0,0
"August 26, 2020",Ontario,140,140,0.9,131,125,0.9,4,0,0,0
"August 27, 2020",Ontario,107,145,0.7,150,129,1,7,0,1,0
"August 28, 2020",Ontario,129,144,0.9,120,136,0.8,7,0,0,0
"August 29, 2020",Ontario,123,146,0.8,109,134,0.7,6,0,0,0
"August 30, 2020",Ontario,144,148,1,122,138,0.8,3,0,1,0
"August 31, 2020",Ontario,166,152,1.1,134,142,0.9,4,0,0,0
"September 1, 2020",Ontario,200,156,1.3,123,145,0.8,5,0,2,0
"September 2, 2020",Ontario,198,165,1.3,126,145,0.8,7,0,0,0
"September 3, 2020",Ontario,179,174,1.2,169,144,1.1,6,0,1,0
"September 4, 2020",Ontario,204,186,1.4,155,147,1,10,0.1,0,0
"September 5, 2020",Ontario,192,198,1.3,147,153,1,6,0,1,0
"September 6, 2020",Ontario,186,209,1.3,194,159,1.3,5,0,0,0
"September 7, 2020",Ontario,255,216,1.7,174,171,1.2,5,0,2,0
"September 8, 2020",Ontario,280,231,1.9,181,178,1.2,7,0,0,0
"September 9, 2020",Ontario,295,244,2,194,187,1.3,8,0.1,0,0
"September 10, 2020",Ontario,336,260,2.3,205,198,1.4,8,0.1,1,0
"September 11, 2020",Ontario,303,285,2,265,204,1.8,8,0.1,1,0
"September 12, 2020",Ontario,323,302,2.2,296,222,2,6,0,2,0
"September 13, 2020",Ontario,331,323,2.2,215,246,1.5,3,0,2,0
"September 14, 2020",Ontario,468,347,3.2,277,250,1.9,6,0,2,0
"September 15, 2020",Ontario,520,381,3.5,318,267,2.1,11,0.1,1,0
"September 16, 2020",Ontario,483,421,3.3,335,289,2.3,12,0.1,1,0
"September 17, 2020",Ontario,433,451,2.9,429,312,2.9,20,0.1,7,0
"September 18, 2020",Ontario,486,467,3.3,398,349,2.7,9,0.1,1,0
"September 19, 2020",Ontario,444,497,3,400,370,2.7,10,0.1,2,0
"September 20, 2020",Ontario,466,517,3.1,401,387,2.7,20,0.1,1,0
"September 21, 2020",Ontario,693,539,4.7,387,418,2.6,21,0.1,0,0
"September 22, 2020",Ontario,644,576,4.3,373,436,2.5,13,0.1,2,0
"September 23, 2020",Ontario,667,596,4.5,396,445,2.7,17,0.1,1,0
"September 24, 2020",Ontario,670,626,4.5,426,455,2.9,21,0.1,3,0
"September 25, 2020",Ontario,700,664,4.7,515,454,3.5,23,0.2,3,0
"September 26, 2020",Ontario,629,699,4.2,624,473,4.2,14,0.1,4,0
"September 27, 2020",Ontario,644,730,4.3,561,510,3.8,15,0.1,2,0
"September 28, 2020",Ontario,810,759,5.5,532,536,3.6,22,0.1,2,0
"September 29, 2020",Ontario,749,778,5.1,608,560,4.1,35,0.2,7,0
"September 30, 2020",Ontario,722,795,4.9,681,598,4.6,17,0.1,1,0
"October 1, 2020",Ontario,625,804,4.2,624,644,4.2,29,0.2,6,0
"October 2, 2020",Ontario,618,797,4.2,675,677,4.6,18,0.1,2,0
"October 3, 2020",Ontario,566,783,3.8,544,703,3.7,20,0.1,7,0
"October 4, 2020",Ontario,552,773,3.7,587,690,4,21,0.1,5,0
"October 5, 2020",Ontario,762,758,5.1,577,694,3.9,28,0.2,1,0
"October 6, 2020",Ontario,702,750,4.7,759,701,5.1,25,0.2,4,0
"October 7, 2020",Ontario,714,742,4.8,879,726,5.9,31,0.2,4,0
"October 8, 2020",Ontario,673,741,4.5,744,758,5,36,0.2,6,0
"October 9, 2020",Ontario,711,749,4.8,804,778,5.4,24,0.2,7,0
"October 10, 2020",Ontario,713,764,4.8,687,799,4.6,31,0.2,8,0.1
"October 11, 2020",Ontario,613,788,4.1,797,822,5.4,28,0.2,1,0
"October 12, 2020",Ontario,714,798,4.8,591,857,4,29,0.2,4,0
"October 13, 2020",Ontario,791,790,5.3,831,859,5.6,20,0.1,7,0
"October 14, 2020",Ontario,779,805,5.3,879,871,5.9,32,0.2,7,0
"October 15, 2020",Ontario,719,815,4.8,763,871,5.1,30,0.2,7,0
"October 16, 2020",Ontario,778,823,5.2,708,874,4.8,30,0.2,7,0
"October 17, 2020",Ontario,698,834,4.7,706,858,4.8,37,0.2,6,0
"October 18, 2020",Ontario,726,831,4.9,800,861,5.4,26,0.2,9,0.1
"October 19, 2020",Ontario,992,850,6.7,755,862,5.1,33,0.2,8,0.1
"October 20, 2020",Ontario,944,895,6.4,759,888,5.1,31,0.2,5,0
"October 21, 2020",Ontario,894,920,6,841,877,5.7,31,0.2,9,0.1
"October 22, 2020",Ontario,943,939,6.4,994,871,6.7,35,0.2,7,0
"October 23, 2020",Ontario,867,976,5.8,955,908,6.4,32,0.2,7,0
"October 24, 2020",Ontario,797,990,5.4,936,949,6.3,30,0.2,13,0.1
"October 25, 2020",Ontario,790,1006,5.3,880,986,5.9,37,0.2,4,0
"October 26, 2020",Ontario,959,1017,6.5,780,999,5.3,34,0.2,8,0.1
"October 27, 2020",Ontario,946,1011,6.4,875,1003,5.9,30,0.2,6,0
"October 28, 2020",Ontario,1040,1012,7,924,1022,6.2,28,0.2,17,0.1
"October 29, 2020",Ontario,841,1035,5.7,892,1036,6,51,0.3,12,0.1
"October 30, 2020",Ontario,929,1019,6.3,1091,1019,7.4,42,0.3,12,0.1
"October 31, 2020",Ontario,944,1029,6.4,948,1041,6.4,30,0.2,8,0.1
"November 1, 2020",Ontario,1022,1053,6.9,1103,1043,7.4,40,0.3,11,0.1
"November 2, 2020",Ontario,1436,1091,9.7,969,1080,6.5,39,0.3,17,0.1
"November 3, 2020",Ontario,1440,1169,9.7,876,1111,5.9,44,0.3,16,0.1
"November 4, 2020",Ontario,1439,1249,9.7,939,1111,6.3,40,0.3,15,0.1
"November 5, 2020",Ontario,1473,1314,9.9,1261,1113,8.5,52,0.4,7,0
"November 6, 2020",Ontario,1588,1418,10.7,1299,1173,8.8,42,0.3,16,0.1
"November 7, 2020",Ontario,1343,1525,9.1,1156,1207,7.8,36,0.2,22,0.1
"November 8, 2020",Ontario,1276,1590,8.6,1325,1241,8.9,51,0.3,15,0.1
"November 9, 2020",Ontario,1667,1632,11.2,1427,1278,9.6,57,0.4,19,0.1
"November 10, 2020",Ontario,1488,1670,10,1575,1352,10.6,55,0.4,26,0.2
"November 11, 2020",Ontario,1544,1677,10.4,1533,1466,10.3,57,0.4,21,0.1
"November 12, 2020",Ontario,1402,1695,9.5,1600,1563,10.8,57,0.4,14,0.1
"November 13, 2020",Ontario,1480,1683,10,1487,1619,10,61,0.4,25,0.2
"November 14, 2020",Ontario,1342,1665,9.1,1495,1649,10.1,66,0.4,20,0.1
"November 15, 2020",Ontario,1322,1665,8.9,1305,1705,8.8,54,0.4,14,0.1
"November 16, 2020",Ontario,1592,1673,10.7,1343,1702,9.1,54,0.4,21,0.1
"November 17, 2020",Ontario,1603,1660,10.8,1258,1688,8.5,56,0.4,15,0.1
"November 18, 2020",Ontario,1641,1679,11.1,1490,1636,10,55,0.4,13,0.1
"November 19, 2020",Ontario,1547,1695,10.4,1503,1629,10.1,61,0.4,19,0.1
"November 20, 2020",Ontario,1603,1719,10.8,1637,1613,11,59,0.4,19,0.1
"November 21, 2020",Ontario,1441,1739,9.7,1501,1638,10.1,58,0.4,18,0.1
"November 22, 2020",Ontario,1408,1755,9.5,1320,1639,8.9,66,0.4,19,0.1
"November 23, 2020",Ontario,1922,1769,13,1371,1641,9.2,66,0.4,23,0.2
"November 24, 2020",Ontario,1831,1823,12.3,1410,1646,9.5,63,0.4,16,0.1
"November 25, 2020",Ontario,1977,1860,13.3,1696,1671,11.4,89,0.6,24,0.2
"November 26, 2020",Ontario,1793,1915,12.1,1859,1704,12.5,66,0.4,18,0.1
"November 27, 2020",Ontario,1804,1955,12.2,1762,1762,11.9,55,0.4,19,0.1
"November 28, 2020",Ontario,1799,1988,12.1,1722,1783,11.6,58,0.4,20,0.1
"November 29, 2020",Ontario,1634,2046,11,1678,1819,11.3,52,0.4,18,0.1
"November 30, 2020",Ontario,2101,2083,14.2,1630,1877,11,71,0.5,21,0.1
"December 1, 2020",Ontario,2021,2112,13.6,1817,1920,12.3,79,0.5,27,0.2
"December 2, 2020",Ontario,1974,2144,13.3,1757,1986,11.9,81,0.5,26,0.2
"December 3, 2020",Ontario,1995,2143,13.5,1824,1996,12.3,75,0.5,17,0.1
"December 4, 2020",Ontario,1946,2176,13.1,1891,1990,12.8,78,0.5,21,0.1
"December 5, 2020",Ontario,1724,2199,11.6,2089,2011,14.1,78,0.5,22,0.1
"December 6, 2020",Ontario,1782,2187,12,1732,2071,11.7,55,0.4,26,0.2
"December 7, 2020",Ontario,2275,2211,15.3,1779,2080,12,76,0.5,19,0.1
"December 8, 2020",Ontario,2187,2240,14.8,1865,2104,12.6,86,0.6,35,0.2
"December 9, 2020",Ontario,2218,2267,15,1908,2112,12.9,81,0.5,33,0.2
"December 10, 2020",Ontario,2114,2306,14.3,1891,2137,12.8,103,0.7,21,0.1
"December 11, 2020",Ontario,2206,2326,14.9,1915,2148,12.9,78,0.5,23,0.2
"December 12, 2020",Ontario,2039,2368,13.8,1974,2152,13.3,93,0.6,41,0.3
"December 13, 2020",Ontario,1963,2420,13.2,1982,2133,13.4,85,0.6,28,0.2
"December 14, 2020",Ontario,2580,2449,17.4,2056,2174,13.9,87,0.6,32,0.2
"December 15, 2020",Ontario,2352,2499,15.9,2250,2219,15.2,97,0.7,38,0.3
"December 16, 2020",Ontario,2495,2526,16.8,2312,2282,15.6,78,0.5,26,0.2
"December 17, 2020",Ontario,2219,2571,15,2375,2348,16,89,0.6,34,0.2
"December 18, 2020",Ontario,2315,2588,15.6,2415,2427,16.3,93,0.6,42,0.3
"December 19, 2020",Ontario,2112,2606,14.2,2276,2508,15.4,97,0.7,37,0.2
"December 20, 2020",Ontario,2132,2618,14.4,2338,2558,15.8,93,0.6,35,0.2
"December 21, 2020",Ontario,2734,2646,18.4,2162,2616,14.6,114,0.8,38,0.3
"December 22, 2020",Ontario,2557,2671,17.2,2551,2633,17.2,84,0.6,47,0.3
"December 23, 2020",Ontario,2755,2704,18.6,2216,2682,14.9,103,0.7,40,0.3
"December 24, 2020",Ontario,2737,2747,18.5,1922,2667,13,112,0.8,47,0.3
"December 25, 2020",Ontario,2396,2831,16.2,2183,2593,14.7,113,0.8,33,0.2
